holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,is_weekday,week_of_year,time,weather__Clear,weather__Clouds,weather__Drizzle,weather__Fog,weather__Haze,weather__Mist,weather__Rain,weather__Smoke,weather__Snow,weather__Squall,weather__Thunderstorm
0,288.28,0.0,0.0,40,5545,1,40,9,0,1,0,0,0,0,0,0,0,0,0
0,289.36,0.0,0.0,75,4516,1,40,10,0,1,0,0,0,0,0,0,0,0,0
0,289.58,0.0,0.0,90,4767,1,40,11,0,1,0,0,0,0,0,0,0,0,0
0,290.13,0.0,0.0,90,5026,1,40,12,0,1,0,0,0,0,0,0,0,0,0
0,291.14,0.0,0.0,75,4918,1,40,13,0,1,0,0,0,0,0,0,0,0,0
0,291.72,0.0,0.0,1,5181,1,40,14,1,0,0,0,0,0,0,0,0,0,0
0,293.17,0.0,0.0,1,5584,1,40,15,1,0,0,0,0,0,0,0,0,0,0
0,293.86,0.0,0.0,1,6015,1,40,16,1,0,0,0,0,0,0,0,0,0,0
0,294.14,0.0,0.0,20,5791,1,40,17,0,1,0,0,0,0,0,0,0,0,0
0,293.1,0.0,0.0,20,4770,1,40,18,0,1,0,0,0,0,0,0,0,0,0
0,290.97,0.0,0.0,20,3539,1,40,19,0,1,0,0,0,0,0,0,0,0,0
0,289.38,0.0,0.0,1,2784,1,40,20,1,0,0,0,0,0,0,0,0,0,0
0,288.61,0.0,0.0,1,2361,1,40,21,1,0,0,0,0,0,0,0,0,0,0
0,287.16,0.0,0.0,1,1529,1,40,22,1,0,0,0,0,0,0,0,0,0,0
0,285.45,0.0,0.0,1,963,1,40,23,1,0,0,0,0,0,0,0,0,0,0
0,284.63,0.0,0.0,1,506,1,40,0,1,0,0,0,0,0,0,0,0,0,0
0,283.47,0.0,0.0,1,321,1,40,1,1,0,0,0,0,0,0,0,0,0,0
0,281.18,0.0,0.0,1,273,1,40,2,1,0,0,0,0,0,0,0,0,0,0
0,281.09,0.0,0.0,1,367,1,40,3,1,0,0,0,0,0,0,0,0,0,0
0,279.53,0.0,0.0,1,814,1,40,4,1,0,0,0,0,0,0,0,0,0,0
0,278.62,0.0,0.0,1,2718,1,40,5,1,0,0,0,0,0,0,0,0,0,0
0,278.23,0.0,0.0,1,5673,1,40,6,1,0,0,0,0,0,0,0,0,0,0
0,278.12,0.0,0.0,1,6511,1,40,8,1,0,0,0,0,0,0,0,0,0,0
0,282.48,0.0,0.0,1,5471,1,40,9,1,0,0,0,0,0,0,0,0,0,0
0,291.97,0.0,0.0,1,5097,1,40,12,1,0,0,0,0,0,0,0,0,0,0
0,293.23,0.0,0.0,1,4887,1,40,13,1,0,0,0,0,0,0,0,0,0,0
0,294.31,0.0,0.0,1,5337,1,40,14,1,0,0,0,0,0,0,0,0,0,0
0,295.17,0.0,0.0,1,5692,1,40,15,1,0,0,0,0,0,0,0,0,0,0
0,295.13,0.0,0.0,1,6137,1,40,16,1,0,0,0,0,0,0,0,0,0,0
0,293.66,0.0,0.0,20,4623,1,40,18,0,1,0,0,0,0,0,0,0,0,0
0,290.65,0.0,0.0,20,3591,1,40,19,0,1,0,0,0,0,0,0,0,0,0
0,288.19,0.0,0.0,20,2898,1,40,20,0,1,0,0,0,0,0,0,0,0,0
0,287.1,0.0,0.0,1,2637,1,40,21,1,0,0,0,0,0,0,0,0,0,0
0,286.25,0.0,0.0,1,1777,1,40,22,1,0,0,0,0,0,0,0,0,0,0
0,285.26,0.0,0.0,1,1015,1,40,23,1,0,0,0,0,0,0,0,0,0,0
0,284.55,0.0,0.0,1,598,1,40,0,1,0,0,0,0,0,0,0,0,0,0
0,283.47,0.0,0.0,1,369,1,40,1,1,0,0,0,0,0,0,0,0,0,0
0,283.17,0.0,0.0,1,312,1,40,2,1,0,0,0,0,0,0,0,0,0,0
0,282.04,0.0,0.0,1,367,1,40,3,1,0,0,0,0,0,0,0,0,0,0
0,281.69,0.0,0.0,1,835,1,40,4,1,0,0,0,0,0,0,0,0,0,0
0,281.32,0.0,0.0,1,2726,1,40,5,1,0,0,0,0,0,0,0,0,0,0
0,280.74,0.0,0.0,1,5689,1,40,6,1,0,0,0,0,0,0,0,0,0,0
0,280.57,0.0,0.0,1,6990,1,40,7,1,0,0,0,0,0,0,0,0,0,0
0,281.86,0.0,0.0,1,5985,1,40,8,1,0,0,0,0,0,0,0,0,0,0
0,284.98,0.0,0.0,1,5309,1,40,9,1,0,0,0,0,0,0,0,0,0,0
0,289.18,0.0,0.0,1,4603,1,40,10,1,0,0,0,0,0,0,0,0,0,0
0,291.55,0.0,0.0,1,4884,1,40,11,1,0,0,0,0,0,0,0,0,0,0
0,294.97,0.0,0.0,1,5104,1,40,12,1,0,0,0,0,0,0,0,0,0,0
0,296.38,0.0,0.0,1,5178,1,40,13,1,0,0,0,0,0,0,0,0,0,0
0,297.32,0.0,0.0,1,5501,1,40,14,1,0,0,0,0,0,0,0,0,0,0
0,298.17,0.0,0.0,1,5713,1,40,15,1,0,0,0,0,0,0,0,0,0,0
0,298.06,0.0,0.0,20,6292,1,40,16,0,1,0,0,0,0,0,0,0,0,0
0,297.67,0.0,0.0,20,6057,1,40,17,0,1,0,0,0,0,0,0,0,0,0
0,296.36,0.0,0.0,40,4907,1,40,18,0,1,0,0,0,0,0,0,0,0,0
0,293.85,0.0,0.0,40,3503,1,40,19,0,1,0,0,0,0,0,0,0,0,0
0,292.43,0.0,0.0,40,3037,1,40,20,0,1,0,0,0,0,0,0,0,0,0
0,291.77,0.0,0.0,75,2822,1,40,21,0,1,0,0,0,0,0,0,0,0,0
0,291.36,0.0,0.0,75,1992,1,40,22,0,1,0,0,0,0,0,0,0,0,0
0,291.12,0.0,0.0,75,1166,1,40,23,0,1,0,0,0,0,0,0,0,0,0
0,290.63,0.0,0.0,75,627,1,40,0,0,1,0,0,0,0,0,0,0,0,0
0,290.46,0.0,0.0,40,388,1,40,1,0,1,0,0,0,0,0,0,0,0,0
0,289.26,0.0,0.0,0,368,1,40,3,1,0,0,0,0,0,0,0,0,0,0
0,283.21,0.0,0.0,75,2489,1,40,5,0,1,0,0,0,0,0,0,0,0,0
0,282.24,0.0,0.0,90,5537,1,40,6,0,1,0,0,0,0,0,0,0,0,0
0,281.69,0.0,0.0,90,6628,1,40,7,0,1,0,0,0,0,0,0,0,0,0
0,280.57,0.0,0.0,90,5534,1,40,8,0,1,0,0,0,0,0,0,0,0,0
0,280.02,0.0,0.0,75,5403,1,40,9,0,1,0,0,0,0,0,0,0,0,0
0,280.11,0.0,0.0,75,4770,1,40,10,0,1,0,0,0,0,0,0,0,0,0
0,280.0,0.0,0.0,90,5217,1,40,11,0,1,0,0,0,0,0,0,0,0,0
0,280.53,0.0,0.0,90,5870,1,40,12,0,1,0,0,0,0,0,0,0,0,0
0,281.43,0.0,0.0,75,5967,1,40,13,0,1,0,0,0,0,0,0,0,0,0
0,281.78,0.0,0.0,90,6108,1,40,14,0,1,0,0,0,0,0,0,0,0,0
0,281.91,0.0,0.0,90,6128,1,40,15,0,1,0,0,0,0,0,0,0,0,0
0,281.73,0.0,0.0,90,6069,1,40,16,0,1,0,0,0,0,0,0,0,0,0
0,281.42,0.0,0.0,90,6169,1,40,17,0,1,0,0,0,0,0,0,0,0,0
0,280.87,0.0,0.0,90,5384,1,40,18,0,1,0,0,0,0,0,0,0,0,0
0,280.15,0.0,0.0,90,4063,1,40,19,0,1,0,0,0,0,0,0,0,0,0
0,279.78,0.0,0.0,90,3364,1,40,20,0,1,0,0,0,0,0,0,0,0,0
0,279.65,0.0,0.0,75,2971,1,40,21,0,1,0,0,0,0,0,0,0,0,0
0,279.22,0.0,0.0,40,2450,1,40,22,0,1,0,0,0,0,0,0,0,0,0
0,279.06,0.0,0.0,40,1832,1,40,23,0,1,0,0,0,0,0,0,0,0,0
0,278.81,0.0,0.0,90,1231,0,40,0,0,1,0,0,0,0,0,0,0,0,0
